해역,대유행 종류,추천 교역품1,추천 교역품2,추천 교역품3,추천 교역품4
극동아시아,전염병,구슬 인형,,,
극동아시아,후원,과라나,,,
극동아시아,축제,아줄마야,,,
극동아시아,홍수,나일농어,,,
극동아시아,개발,,,,
극동아시아,전쟁,기니피그,,,
극동아시아,호황,,,,
극동아시아,사치,,,,
남아메리카,전염병,귀룽나무,파이프,,
남아메리카,후원,,,,
남아메리카,축제,스트로가니나,,,
남아메리카,홍수,스트로가니나,,,
남아메리카,개발,,,,
남아메리카,전쟁,,,,
남아메리카,호황,,,,
남아메리카,사치,,,,
남아시아,전염병,골든씰,,,
남아시아,후원,,,,
남아시아,축제,아줄마야,로즈 매더,,
남아시아,홍수,독수리 깃털,모카신,,
남아시아,개발,,,,
남아시아,전쟁,,,,
남아시아,호황,,,,
남아시아,사치,,,,
동아시아,전염병,구슬 인형,,,
동아시아,후원,,,,
동아시아,축제,로즈 매더,나일농어,,
동아시아,홍수,독수리 깃털,모카신,,
동아시아,개발,운철(생산),,,
동아시아,전쟁,,,,
동아시아,호황,,,,
동아시아,사치,,,,
동인도 인도차이나,전염병,,,,
동인도 인도차이나,후원,,,,
동인도 인도차이나,축제,나일농어,,,
동인도 인도차이나,홍수,독수리 깃털,모카신,,
동인도 인도차이나,개발,운철,,,
동인도 인도차이나,전쟁,무스,야쿠트말,,
동인도 인도차이나,호황,,,,
동인도 인도차이나,사치,,,,
동지중해,전염병,,,,
동지중해,후원,,,,
동지중해,축제,카마스,사고,,
동지중해,홍수,카마스,사고,,
동지중해,개발,,,,
동지중해,전쟁,,,,
동지중해,호황,,,,
동지중해,사치,,,,
북극해,전염병,구슬 인형,모링가열매,,
북극해,후원,,,,
북극해,축제,,,,
북극해,홍수,,,,
북극해,개발,,,,
북극해,전쟁,기니피그,,,
북극해,호황,,,,
북극해,사치,,,,
북아메리카 서부,전염병,구슬 인형,,,
북아메리카 서부,후원,,,,
북아메리카 서부,축제,노일농어,옥파,,
북아메리카 서부,홍수,상급 캥거루고기,나일농어,옥파,유목
북아메리카 서부,개발,,,,
북아메리카 서부,전쟁,,,,
북아메리카 서부,호황,,,,
북아메리카 서부,사치,,,,
북해,전염병,,,,
북해,후원,목피화,,,
북해,축제,카마스,사고,,
북해,홍수,카마스,사고,,
북해,개발,카우리,,,
북해,전쟁,,,,
북해,호황,일렉트럼,목피화,,
북해,사치,,,,
서지중해 대서양,전염병,,,,
서지중해 대서양,후원,,,,
서지중해 대서양,축제,카마스,사고,,
서지중해 대서양,홍수,카마스,사고,,
서지중해 대서양,개발,,,,
서지중해 대서양,전쟁,,,,
서지중해 대서양,호황,상급 은,,,
서지중해 대서양,사치,,,,
아라비아 서인도,전염병,파이프,,,
아라비아 서인도,후원,,,,
아라비아 서인도,축제,카마스,,,
아라비아 서인도,홍수,카마스,,,
아라비아 서인도,개발,무스,야쿠트말,,
아라비아 서인도,전쟁,야쿠트 칼,무스,,
아라비아 서인도,호황,,,,
아라비아 서인도,사치,,,,
아메리카 동부,전염병,,,,
아메리카 동부,후원,목피화,,,
아메리카 동부,축제,카마스,사고,,
아메리카 동부,홍수,카마스,사고,,
아메리카 동부,개발,,,,
아메리카 동부,전쟁,야쿠트 칼,네눈사슴,,
아메리카 동부,호황,목피화,,,
아메리카 동부,사치,,,,
아프리카 남부,전염병,파이프,,,
아프리카 남부,후원,,,,
아프리카 남부,축제,카마스,,,
아프리카 남부,홍수,카마스,,,
아프리카 남부,개발,,,,
아프리카 남부,전쟁,무스,야쿠트말,,
아프리카 남부,호황,,,,
아프리카 남부,사치,,,,
아프리카 동부,전염병,파이프,,,
아프리카 동부,후원,,,,
아프리카 동부,축제,카마스,,,
아프리카 동부,홍수,카마스,,,
아프리카 동부,개발,,,,
아프리카 동부,전쟁,무스,야쿠트 칼,,
아프리카 동부,호황,,,,
아프리카 동부,사치,,,,
아프리카 서부,전염병,,,,
아프리카 서부,후원,,,,
아프리카 서부,축제,카마스,,,
아프리카 서부,홍수,카마스,,,
아프리카 서부,개발,,,,
아프리카 서부,전쟁,,,,
아프리카 서부,호황,,,,
아프리카 서부,사치,,,,
오세아니아,전염병,골든씰,,,
오세아니아,후원,,,,
오세아니아,축제,나일농어,로즈 매더,,
오세아니아,홍수,모카신,나일농어,,
오세아니아,개발,,,,
오세아니아,전쟁,,,,
오세아니아,호황,,,,
오세아니아,사치,,,,
오세아니아 동부,전염병,골든씰,구슬 인형,,
오세아니아 동부,후원,,,,
오세아니아 동부,축제,나일농어,로즈 매더,,
오세아니아 동부,홍수,나일 농어,,,
오세아니아 동부,개발,,,,
오세아니아 동부,전쟁,,,,
오세아니아 동부,호황,,,,
오세아니아 동부,사치,,,,
태평양,전염병,구슬 인형,,,
태평양,후원,네베르스로이드,,,
태평양,축제,로즈 매더,,,
태평양,홍수,나일 농어,유목,,
태평양,개발,,,,
태평양,전쟁,,,,
태평양,호황,,,,
태평양,사치,네베르스로이드,,,